City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
134,Ambilobe,-13.2,49.05,67.06,87,16,3.0,MG,2022-08-01 18:33:45,few clouds
135,Souillac,-20.5167,57.5167,66.58,100,75,3.44,MU,2022-08-01 18:33:46,light intensity shower rain
136,Gabu,12.2833,-14.2167,76.35,92,100,5.99,GW,2022-08-01 18:33:46,moderate rain
137,Jutai,-5.1833,-68.9,85.35,67,75,1.92,BR,2022-08-01 18:33:47,broken clouds
138,Ventspils,57.3894,21.5606,64.33,82,0,5.75,LV,2022-08-01 18:30:25,clear sky
139,Nadvoitsy,63.8667,34.3167,58.8,82,12,6.13,RU,2022-08-01 18:34:48,few clouds
140,Bengkulu,-3.8004,102.2655,75.47,92,100,3.98,ID,2022-08-01 18:34:49,overcast clouds
141,Sao Joao Da Barra,-21.6403,-41.0511,80.69,75,0,14.36,BR,2022-08-01 18:32:31,clear sky
142,Maceio,-9.6658,-35.7353,83.64,54,40,12.66,BR,2022-08-01 18:34:50,scattered clouds
143,Diego De Almagro,-26.3667,-70.05,71.01,24,5,8.08,CL,2022-08-01 18:32:06,clear sky
144,Pemangkat,1.1667,108.9667,79.21,83,100,2.28,ID,2022-08-01 18:34:51,overcast clouds
145,Kikwit,-5.041,18.8162,83.89,34,6,2.46,CD,2022-08-01 18:34:52,clear sky
146,Kibungo,-2.1597,30.5427,65.32,85,92,2.26,RW,2022-08-01 18:34:52,moderate rain
147,Upernavik,72.7868,-56.1549,46.62,59,100,7.11,GL,2022-08-01 18:34:53,overcast clouds
148,Dalbandin,28.8947,64.4101,91.63,19,0,7.23,PK,2022-08-01 18:34:53,clear sky
149,Cabo San Lucas,22.8909,-109.9124,92.61,58,75,3.44,MX,2022-08-01 18:34:13,broken clouds
150,Kerrobert,51.9168,-109.1348,69.85,55,91,7.52,CA,2022-08-01 18:34:55,overcast clouds
151,Wanning,18.8003,110.3967,81.07,80,100,5.57,CN,2022-08-01 18:34:55,overcast clouds
152,Komsomolskiy,40.4272,71.7189,80.01,33,100,4.65,UZ,2022-08-01 18:34:56,overcast clouds
153,Ankang,32.68,109.0172,73.94,88,0,2.35,CN,2022-08-01 18:34:57,clear sky
154,Georgetown,5.4112,100.3354,82.33,91,20,4.61,MY,2022-08-01 18:34:58,few clouds
155,Inyonga,-6.7167,32.0667,72.03,37,30,4.47,TZ,2022-08-01 18:34:59,scattered clouds
156,Esmeraldas,-19.7625,-44.3139,80.71,41,100,2.59,BR,2022-08-01 18:35:00,overcast clouds
157,Horsham,51.064,-0.3272,77.29,71,0,8.05,GB,2022-08-01 18:35:00,clear sky
158,Cidreira,-30.1811,-50.2056,64.53,69,6,3.18,BR,2022-08-01 18:35:01,clear sky
159,Kidal,18.4411,1.4078,99.27,21,12,8.57,ML,2022-08-01 18:35:01,few clouds
160,Whitehorse,60.7161,-135.0538,60.1,73,75,1.01,CA,2022-08-01 18:30:09,broken clouds
161,San Ignacio,17.1561,-89.0714,84.34,84,20,6.91,BZ,2022-08-01 18:35:03,thunderstorm
162,Barberton,-25.7884,31.0532,53.65,82,100,2.04,ZA,2022-08-01 18:35:04,overcast clouds
163,Chuy,-33.6971,-53.4616,58.24,83,86,7.2,UY,2022-08-01 18:35:04,overcast clouds
164,Marathon,44.9,-89.7668,75.18,71,100,12.66,US,2022-08-01 18:35:05,overcast clouds
165,Acapulco,16.8634,-99.8901,87.62,58,75,12.66,MX,2022-08-01 18:34:57,broken clouds
166,Takaka,-40.85,172.8,52.56,83,100,10.11,NZ,2022-08-01 18:35:06,overcast clouds
167,Borova,50.1763,30.1043,72.34,88,100,6.02,UA,2022-08-01 18:35:07,light rain
168,Porto Velho,-8.7619,-63.9039,91.45,46,0,8.05,BR,2022-08-01 18:34:11,clear sky
169,Corrales,35.2378,-106.6067,91.71,37,0,8.05,US,2022-08-01 18:35:08,clear sky
170,Buenos Aires,-34.6132,-58.3772,66.09,61,0,5.75,AR,2022-08-01 18:31:26,clear sky
171,Saint-Pierre,-21.3393,55.4781,67.91,67,0,6.91,RE,2022-08-01 18:35:09,clear sky
172,Beirut,33.8889,35.4944,83.14,70,75,8.05,LB,2022-08-01 18:31:57,broken clouds
173,Doka,13.5167,35.7667,68.5,93,100,12.53,SD,2022-08-01 18:35:09,light rain
174,Alakurtti,66.9672,30.3491,56.01,85,7,0.94,RU,2022-08-01 18:35:10,clear sky
175,Kodiak,57.79,-152.4072,58.51,77,75,9.22,US,2022-08-01 18:31:48,broken clouds
176,Saint George,37.1041,-113.5841,88.95,46,0,4.0,US,2022-08-01 18:34:57,clear sky
177,Veselynove,47.3567,31.2349,68.94,78,75,10.4,UA,2022-08-01 18:35:11,broken clouds
178,Kibala,9.1104,18.3463,73.35,94,20,2.3,TD,2022-08-01 18:35:12,thunderstorm
179,Orlik,52.5178,99.825,58.35,93,100,2.15,RU,2022-08-01 18:35:13,overcast clouds
180,Kargil,34.5667,76.1,54.99,62,2,4.43,IN,2022-08-01 18:35:13,clear sky
181,Aguimes,27.9054,-15.4461,77.63,61,20,29.93,ES,2022-08-01 18:35:14,few clouds
182,Khatanga,71.9667,102.5,44.83,75,100,5.14,RU,2022-08-01 18:35:14,overcast clouds
183,Dingle,10.9995,122.6711,75.13,89,100,1.95,PH,2022-08-01 18:35:15,overcast clouds
